Krajina,Kliknutia,Zobrazenia,MP,Pozícia
Slovensko,48,1096,4.38%,11.61
Česko,1,16,6.25%,13.25
Chorvátsko,1,3,33.33%,1.33
Spojené štáty,0,6,0%,17.17
Nemecko,0,5,0%,5
Rakúsko,0,5,0%,5.2
Poľsko,0,4,0%,7.25
Veľká Británia,0,2,0%,9.5
Holandsko,0,1,0%,1
Nórsko,0,1,0%,1
Vietnam,0,1,0%,2
Švajčiarsko,0,1,0%,7
Dánsko,0,1,0%,7
Indonézia,0,1,0%,11
Thajsko,0,1,0%,20
Mexiko,0,1,0%,27
Pobrežie Slonoviny,0,1,0%,176
