Dôvod,Zdroj,Overenie,Strany
Vylúčená na základe značky „noindex’“,Web,Nespustené,76
Stránka s presmerovaním,Web,Nespustené,51
Alternatívna stránka so správnou kanonickou značkou,Web,Nespustené,9
Nenájdené (404),Web,Nespustené,6
Chyba servera (5xx),Web,Nespustené,1
Objavené – momentálne nie je v indexe,Systémy Googlu,Nespustené,70
Indexovo prehľadávané – momentálne neindexované,Systémy Googlu,Nespustené,28
"Duplicitná, Google vybral inú kánonickú stránku než používateľ",Systémy Googlu,Nespustené,1
