Dátum,Neindexované,Indexované,Zobrazenia
2026-02-17,,,76
2026-02-18,,,80
2026-02-19,,,90
2026-02-20,,,90
2026-02-21,151,93,99
2026-02-22,242,76,129
2026-02-23,242,76,62
2026-02-24,242,76,193
